curso_academico,poblacion,des_provincia_centro_sec,nota_media,nota_minima,nota_maxima,percentil_25,percentil_50,percentil_75
2017-18,Muy poco densa,Almería,11.76775,8.636,13.425,11.53775,12.505,12.735000000000001
2017-18,Muy poco densa,Valencia,8.725999999999999,7.068,10.384,7.897,8.725999999999999,9.555
2017-18,Muy poco densa,Melilla,,,,,,
2017-18,Muy poco densa,Cuenca,9.988727272727273,5.82,12.844,8.636,10.425,11.026
2017-18,Muy poco densa,La Coruña,10.285499999999999,7.114,12.007,9.289,11.0105,12.007
2017-18,Muy poco densa,Navarra,10.035222222222224,7.525,12.093,9.444,9.729,11.944
2017-18,Muy poco densa,Sevilla,,,,,,
2017-18,Muy poco densa,Barcelona,,,,,,
2017-18,Muy poco densa,Tarragona,10.73,8.9,12.18,9.47,10.92,12.18
2017-18,Muy poco densa,Zamora,8.384333333333332,6.321,11.613,8.024,8.085,8.170000000000002
2017-18,Muy poco densa,Lérida,9.278,9.278,9.278,9.278,9.278,9.278
2017-18,Muy poco densa,Teruel,10.469999999999999,9.724,11.216,10.097,10.469999999999999,10.843
2017-18,Muy poco densa,Gerona,,,,,,
2017-18,Muy poco densa,Global,9.688460273972602,5.007,13.759,8.18375,9.672,11.191
2018-19,Moderadamente densa,Córdoba,8.828333333333333,6.535,10.01,8.2375,9.94,9.975
2018-19,Moderadamente densa,Madrid,9.615655225409835,5.01,13.914,8.242,9.6645,11.04
2018-19,Moderadamente densa,Salamanca,,,,,,
2018-19,Moderadamente densa,Zaragoza,,,,,,
2018-19,Moderadamente densa,Burgos,10.085516129032259,5.138,13.678,8.238499999999998,10.592,12.3655
2018-19,Moderadamente densa,Toledo,10.022432780847145,5.0,13.775,8.7345,10.051,11.509
2018-19,Moderadamente densa,León,10.6026875,6.231,13.776,9.499,10.514,11.8295
2018-19,Moderadamente densa,Cádiz,10.916721518987343,5.653,13.975,9.7775,11.28,12.7725
2018-19,Moderadamente densa,Las Palmas,11.122855855855855,6.0,13.57,10.1235,11.234,12.6345
2018-19,Moderadamente densa,Guadalajara,9.710801932367149,5.31,13.435,8.379999999999999,10.061,11.118500000000001
2018-19,Moderadamente densa,Baleares,9.50469696969697,6.058,12.474,8.2065,9.517,10.8875
2018-19,Moderadamente densa,Ciudad Real,10.469208333333333,5.875,13.678,9.13775,10.509,12.253499999999999
2018-19,Moderadamente densa,Pontevedra,10.853555555555555,7.496,13.37,9.631,10.616,11.9875
2018-19,Moderadamente densa,Álava,,,,,,
2018-19,Moderadamente densa,Segovia,8.700859259259259,5.058,13.503,6.73625,8.4025,10.484
2018-19,Moderadamente densa,Albacete,10.958769230769231,8.533,13.475,9.322,11.376,12.218
2018-19,Moderadamente densa,Santa Cruz de Tenerife,11.00755737704918,6.657,13.755,9.869,11.519,12.24
2018-19,Moderadamente densa,Murcia,10.810744444444444,5.751,13.785,9.427,11.2655,12.475
2018-19,Moderadamente densa,Valladolid,,,,,,
2018-19,Moderadamente densa,Cantabria,10.258272727272727,5.87,12.79,9.13125,10.1935,11.5995
2018-19,Moderadamente densa,La Rioja,,,,,,
2018-19,Moderadamente densa,Huelva,11.0994,9.034,12.972,11.115,11.188,11.188
